case,Left-Nucleus-Accumbens,Right-Nucleus-Accumbens,Left-HypoThal-noMB,Right-HypoThal-noMB,Left-Fornix,Right-Fornix,Left-MammillaryBody,Right-MammillaryBody,Left-Basal-Forebrain,Right-Basal-Forebrain,Left-SeptalNuc,Right-SeptalNuc
sub-561230PV_ses-1_T1w,0.8511,0.8680,0.8212,0.8330,0.7659,0.7535,0.7860,0.7667,0.8176,0.8286,0.7793,0.7824
sub-561230PV_ses-2_T1w,0.7833,0.8187,0.7882,0.7933,0.6917,0.7164,0.7199,0.7848,0.7717,0.8093,0.7431,0.7655
sub-561230PV_ses-3_T1w,0.7218,0.7637,0.7243,0.7467,0.6096,0.6139,0.6625,0.7120,0.7278,0.7721,0.7231,0.7205
sub-570226LD_ses-1_T1w,0.8183,0.8508,0.8160,0.8190,0.7813,0.7805,0.7879,0.8037,0.8282,0.8292,0.7545,0.7578
sub-570226LD_ses-2_T1w,0.7615,0.8008,0.7907,0.7966,0.7055,0.7068,0.7292,0.7482,0.7757,0.8177,0.7457,0.7928
sub-571216AT_ses-1_T1w,0.8206,0.8249,0.7677,0.7837,0.6895,0.6927,0.7288,0.7299,0.7980,0.7977,0.7101,0.7141
sub-571216AT_ses-2_T1w,0.8687,0.8801,0.8514,0.8387,0.7644,0.7847,0.8190,0.8331,0.8317,0.8392,0.7689,0.7785
sub-571216AT_ses-3_T1w,0.7436,0.8015,0.7950,0.8069,0.6303,0.6986,0.7417,0.7553,0.7905,0.7967,0.7451,0.7764
sub-580620CG_ses-1_T1w,0.8385,0.8606,0.8163,0.8158,0.8038,0.7900,0.8219,0.7939,0.8194,0.8414,0.7603,0.7431
sub-580620CG_ses-2_T1w,0.8651,0.8658,0.8375,0.8296,0.7958,0.8099,0.8066,0.7793,0.8344,0.8482,0.7533,0.7649
sub-580620CG_ses-3_T1w,0.7819,0.7861,0.7995,0.7914,0.7540,0.7631,0.7686,0.7578,0.7675,0.8152,0.7538,0.7477
sub-580714PF_ses-1_T1w,0.8029,0.8356,0.7761,0.7888,0.7017,0.6700,0.7436,0.7665,0.8362,0.8152,0.7399,0.7480
sub-580714PF_ses-2_T1w,0.8305,0.8423,0.8100,0.8262,0.7530,0.7358,0.7199,0.7961,0.7983,0.8173,0.7698,0.7870
sub-580714PF_ses-3_T1w,0.8032,0.8462,0.8189,0.8304,0.7411,0.7302,0.7371,0.7957,0.8235,0.8045,0.7858,0.7672
sub-581002PR_ses-1_T1w,0.8603,0.8497,0.8328,0.8343,0.7855,0.8008,0.7951,0.7960,0.8347,0.8228,0.7944,0.7800
sub-581002PR_ses-2_T1w,0.8548,0.8438,0.8331,0.8407,0.7967,0.7945,0.7663,0.7750,0.8475,0.8307,0.7662,0.7827
sub-581002PR_ses-3_T1w,0.8338,0.8197,0.8050,0.8073,0.7257,0.7448,0.7983,0.7461,0.7968,0.8148,0.7567,0.7739
sub-600130DC_ses-1_T1w,0.8235,0.8384,0.7806,0.7998,0.7125,0.7266,0.7564,0.7674,0.8221,0.8168,0.7298,0.7454
sub-600130DC_ses-2_T1w,0.7197,0.7633,0.7792,0.7899,0.6903,0.6974,0.7334,0.7579,0.7512,0.7968,0.7387,0.7499
sub-600506GH_ses-1_T1w,0.8476,0.8481,0.8408,0.8406,0.8107,0.7988,0.7933,0.7979,0.8329,0.8408,0.7647,0.7857
sub-600506GH_ses-2_T1w,0.8108,0.8063,0.7808,0.7873,0.7183,0.6946,0.7056,0.7420,0.7974,0.8074,0.7306,0.7415
sub-600506GH_ses-3_T1w,0.8250,0.8418,0.8087,0.8265,0.7682,0.7496,0.7836,0.7794,0.8031,0.8085,0.7549,0.7592
sub-600816JLS_ses-1_T1w,0.8576,0.8634,0.8404,0.8367,0.7882,0.7882,0.7880,0.7922,0.8324,0.8219,0.7556,0.7878
sub-600816JLS_ses-2_T1w,0.7471,0.7745,0.7702,0.7708,0.6663,0.6241,0.7423,0.7543,0.7494,0.7808,0.7487,0.7326
sub-600816JLS_ses-3_T1w,0.7858,0.8292,0.8091,0.8041,0.7429,0.7298,0.7783,0.7824,0.7982,0.7959,0.7458,0.7626
sub-601224NLL_ses-1_T1w,0.8472,0.8618,0.8366,0.8346,0.7919,0.7786,0.7712,0.8008,0.8411,0.8258,0.7809,0.7774
sub-601224NLL_ses-2_T1w,0.6990,0.7456,0.7624,0.8029,0.7047,0.7177,0.6954,0.7721,0.7359,0.7820,0.7370,0.7266
sub-601224NLL_ses-3_T1w,0.8510,0.8571,0.8167,0.8384,0.7675,0.7518,0.7695,0.7812,0.8201,0.8288,0.7657,0.7572
sub-610415JD_ses-1_T1w,0.8467,0.8504,0.8290,0.8359,0.7881,0.7838,0.7108,0.8171,0.8222,0.8531,0.7849,0.7799
sub-610415JD_ses-2_T1w,0.7836,0.8297,0.8013,0.8182,0.7332,0.7443,0.7583,0.7740,0.8118,0.8240,0.7744,0.7566
sub-610415JD_ses-3_T1w,0.6107,0.7161,0.7588,0.7836,0.6810,0.7295,0.6437,0.7179,0.6810,0.7720,0.7275,0.7165
sub-610612HV_ses-1_T1w,0.8352,0.8509,0.8226,0.8290,0.7895,0.7894,0.7874,0.7707,0.8236,0.8356,0.7698,0.7917
sub-610612HV_ses-2_T1w,0.7609,0.8129,0.7777,0.7877,0.7158,0.6988,0.7416,0.7822,0.7948,0.7976,0.7574,0.7603
sub-610612HV_ses-3_T1w,0.0000,0.6692,0.7437,0.7499,0.6351,0.6327,0.6840,0.7377,0.5247,0.6947,0.7447,0.7376
sub-611230FJ_ses-1_T1w,0.8438,0.8628,0.8192,0.8207,0.7556,0.8014,0.7713,0.7831,0.8192,0.8308,0.7716,0.7825
sub-611230FJ_ses-2_T1w,0.7931,0.8372,0.8159,0.8125,0.7482,0.7659,0.7494,0.7833,0.8122,0.8251,0.7785,0.7837
sub-611230FJ_ses-3_T1w,0.8251,0.8646,0.8302,0.8160,0.7600,0.7779,0.7627,0.7832,0.8281,0.8334,0.7706,0.7963
sub-620204BD_ses-1_T1w,0.8558,0.8525,0.8321,0.8269,0.7737,0.7643,0.8064,0.7857,0.8168,0.8401,0.7581,0.7862
sub-620204BD_ses-2_T1w,0.8389,0.8432,0.8279,0.8133,0.7751,0.7768,0.8176,0.7716,0.8041,0.8227,0.7650,0.7840
sub-620227JB_ses-1_T1w,0.8506,0.8670,0.8201,0.8286,0.7886,0.7863,0.7963,0.7980,0.8279,0.8226,0.7586,0.7558
sub-620227JB_ses-2_T1w,0.8023,0.8102,0.8059,0.8039,0.7445,0.7195,0.7371,0.7466,0.7920,0.8017,0.7374,0.7686
sub-620818NC_ses-1_T1w,0.8636,0.8714,0.8305,0.8230,0.7859,0.7715,0.8159,0.7977,0.8437,0.8292,0.7588,0.7657
sub-620818NC_ses-2_T1w,0.8292,0.8539,0.8209,0.8161,0.7442,0.7545,0.7634,0.7961,0.8100,0.8222,0.7778,0.7536
sub-620830MF_ses-1_T1w,0.8277,0.8312,0.8140,0.8295,0.7796,0.7622,0.8338,0.7463,0.8195,0.7979,0.7962,0.7673
sub-620830MF_ses-2_T1w,0.8368,0.8395,0.8184,0.8228,0.7684,0.7591,0.7831,0.7893,0.8014,0.7867,0.7674,0.7649
